"Source:"	"C:\Users\vtroc\Desktop\BusPirate-temp\BusPirate-5-rev8_20230911c\BusPirate-5-rev8.sch"
"Date:"	"12 Sep 2023 5:06:30 pm"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"203"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C402"	"4.7uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C403"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C404"	"4.7uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C405"	"2.2uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C406"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C407"	"4.7uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C408"	"120pF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C413"	"2.2uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C414"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C415"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C416"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C501"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C502"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C503"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C601"	"2.2uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C602"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C603"	"DNF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C605"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C701"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C702"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C703"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C704"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C705"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C706"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C707"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C708"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C710"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C712"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C713"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C714"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C715"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C716"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C717"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"C718"	"0.1uF"	"Device:C_Small"	"Capacitor_SMD:C_0402_1005Metric"	"Unpolarized capacitor, small symbol"	""
"D401"	"1N4148WS"	"Diode:1N4148WS"	"Diode_SMD:D_SOD-323"	"75V 0.15A Fast switching Diode, SOD-323"	""
