"Source:","C:\BP5hw\bus_pirate_pcb\development\7-REV2-vout-protection\7-REV2-vout-protection.kicad_sch"
"Date:","2025-07-04T16:16:52+0200"
"Tool:","Eeschema 9.0.1"
"Generator:","C:\Program Files\KiCad\8.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","264"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Datasheet","Description","Description_1","Field4","Field5","Field6","Footprint","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","RMB","STANDARD","Sim.Device","Sim.Pins","SnapEDA_Link","Supplier","USD","szlcsc_partnumber","szlcsc_url"
"26","1","Q602","BC2301T 2.8A","Transistor_FET:BSS84","library:SOT-523","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","","","","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","-0.13A Id, -50V Vds, P-Channel MOSFET, SOT-23","","","","","library:SOT-523","","","","","","","","0.232494","","","","","https://item.szlcsc.com/76686.html","","C21714127","https://item.szlcsc.com/23141038.html?fromZone=s_s__%2522BC2301T%25202.8A%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRfXlxWQ1hXUDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"27","1","R1","10R","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.006373","","","","","https://item.szlcsc.com/116008.html","","C25077","https://item.szlcsc.com/25820.html?fromZone=s_s__%252210R%25200402%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRVhfXlFQRFVfUzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"28","5","R2, R12, R502, R602, R603","1K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.006373","","","","","https://item.szlcsc.com/116008.html","","C11702","https://item.szlcsc.com/12256.html?fromZone=s_s__%25221K%25200402%2522&spm=sc.gb.xh1.zy.n&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1VURlNcVTsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"29","1","R3","110K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.006373","","","","","https://item.szlcsc.com/116008.html","","C25745","https://item.szlcsc.com/26488.html?fromZone=s_s__%2522110K%25200402%2522&spm=sc.gb.xh3.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRVhfXlFQRFVfUzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"30","4","R4, R5, R319, R401","100K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.005749","","","","","https://item.szlcsc.com/61543.html","","C25741","https://item.szlcsc.com/26484.html?fromZone=s_s__%2522100K%25200402%2522&spm=sc.gb.xh1.zy.n&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"31","14","R6, R8, R9, R11, R301, R406, R407, R414, R415, R606, R609, R610, R611, R613","10K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.006373","","","","","https://item.szlcsc.com/116008.html","","C25744","https://item.szlcsc.com/26487.html?fromZone=s_s__%252210K%25200402%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"32","1","R10","470K","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.006373","","","","","https://item.szlcsc.com/116008.html","","C25790","https://item.szlcsc.com/26533.html?fromZone=s_s__%2522470K%25200402%2522&spm=sc.gb.xh1.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"33","8","R13, R14, R15, R16, R17, R18, R19, R20","120R 0.5W","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","~","Resistor, Thick-Film, 0.5W","","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","","","","","","","","","","","","C966144","https://item.szlcsc.com/1052012.html?fromZone=s_s__%2522120R%25200805%2520500mw%2522&spm=sc.gb.xh3.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRFRcV1ZTQFNZVDsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"34","4","R21, R103, R202, R203","27R","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor, small symbol","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","0.006373","","","","","https://item.szlcsc.com/116008.html","","C25100","https://item.szlcsc.com/25843.html?fromZone=s_s__%252227R%25200402%2522&spm=sc.gb.xh3.zy.n___sc.gb.hd.ss&lcsc_vid=RlENUlJWE1QKBlBWRAVaUFNTT1leBQZXRFNcVAVQQVAxVlNSRVhfXlFQRFVfUzsOAxUeFF5JWAgaAglIBBsCBBcFWQIBCks%3D"
"35","1","R22","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","~","Resistor","","","","","Resistor_SMD:R_0402_1005Metric","","","","","","","","","","","","","","","",""
